QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
2507507 JOÃO PESSOA 2020-04-11 16:02:42 EW;2507507;EW;JOÃO PESSOA;2020-04-11 16:02:42;OK;1;EastWest
2507507 JOÃO PESSOA 2020-04-11 16:02:44 NS;2507507;NS;JOÃO PESSOA;2020-04-11 16:02:44;OK;1;NorthSouth
3547809 SANTO ANDRÉ 2020-04-11 16:02:48 EW;3547809;EW;SANTO ANDRÉ;2020-04-11 16:02:48;OK;1;EastWest
3547809 SANTO ANDRÉ 2020-04-11 16:02:50 NS;3547809;NS;SANTO ANDRÉ;2020-04-11 16:02:50;OK;1;NorthSouth
3549904 SÃO JOSÉ DOS CAMPOS 2020-04-11 16:02:53 EW;3549904;EW;SÃO JOSÉ DOS CAMPOS;2020-04-11 16:02:53;OK;1;EastWest
3549904 SÃO JOSÉ DOS CAMPOS 2020-04-11 16:02:56 NS;3549904;NS;SÃO JOSÉ DOS CAMPOS;2020-04-11 16:02:56;OK;1;NorthSouth
2607901 JABOATÃO DOS GUARARAPES 2020-04-11 16:02:59 EW;2607901;EW;JABOATÃO DOS GUARARAPES;2020-04-11 16:02:59;OK;1;EastWest
2607901 JABOATÃO DOS GUARARAPES 2020-04-11 16:03:00 NS;2607901;NS;JABOATÃO DOS GUARARAPES;2020-04-11 16:03:00;OK;1;NorthSouth
3534401 OSASCO 2020-04-11 16:03:03 EW;3534401;EW;OSASCO;2020-04-11 16:03:03;OK;1;EastWest
3534401 OSASCO 2020-04-11 16:03:05 NS;3534401;NS;OSASCO;2020-04-11 16:03:05;OK;1;NorthSouth
3543402 RIBEIRÃO PRETO 2020-04-11 16:03:06 EW;3543402;EW;RIBEIRÃO PRETO;2020-04-11 16:03:06;OK;1;EastWest
3543402 RIBEIRÃO PRETO 2020-04-11 16:03:08 NS;3543402;NS;RIBEIRÃO PRETO;2020-04-11 16:03:08;OK;1;NorthSouth
3170206 UBERLÂNDIA 2020-04-11 16:03:10 EW;3170206;EW;UBERLÂNDIA;2020-04-11 16:03:10;OK;1;EastWest
3170206 UBERLÂNDIA 2020-04-11 16:03:13 NS;3170206;NS;UBERLÂNDIA;2020-04-11 16:03:13;OK;1;NorthSouth
